Number,Left context,Match,Match2,Right context,Link,Query
15,. palsham; Ross. óajibaairb;,Arab,,. balsan; (Hebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=181&zoom=width&showposition=0.080,0.512&highlight=161,1554,62,26#Linde",Arab
19,2>LSD pasa in- cessit,Arab,,. venit; cf.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=233&zoom=width&showposition=0.562,0.767&highlight=1304,735,59,25#Linde",Arab
21,"; Lat. ccdo, incedo;",Arab,,. nro katnt • incenit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=385&zoom=width&showposition=0.803,0.836&highlight=1893,516,56,24#Linde",Arab
23,". chudy, kbudć, khudobnć;",Arab,,. lvi opus habuit],"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=405&zoom=width&showposition=0.289,0.479&highlight=658,1654,63,26#Linde",Arab
24,"Sorab 1. jebu, jebem;",Arab,,. 22D; Croat.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=412&zoom=width&showposition=0.409,0.614&highlight=948,1220,62,26#Linde",Arab
25,. huliti; Hung. hajlok;,Arab,,. #Sn; Graec,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=413&zoom=width&showposition=0.570,0.589&highlight=1328,1302,62,26#Linde",Arab
26,kytry; Graec. wfięóę; {,Arab,,". *irQ decepit,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=415&zoom=width&showposition=0.082,0.720&highlight=165,880,59,33#Linde",Arab
27,junaz; Ross. TeJia; (,Arab,,. tela •• catulus,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=427&zoom=width&showposition=0.901,0.632&highlight=2113,1159,54,32#Linde",Arab
29,", tómnos; Boss. TbMa (",Arab,,. et Hebr. onN,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=449&zoom=width&showposition=0.165,0.211&highlight=368,2517,54,32#Linde",Arab
30,; Chald. Syr. m;,Arab,,. - >nn;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.792,0.484&highlight=1856,1635,62,26#Linde",Arab
31,. czifrica ; Boss. nuwipi;,Arab,,. et Bebr. saphar,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=469&zoom=width&showposition=0.260,0.403&highlight=590,1902,59,25#Linde",Arab
32,Hebr. ptt^p kinnamon;,Arab,,. o:p grauiter oluit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=471&zoom=width&showposition=0.684,0.682&highlight=1605,1009,63,26#Linde",Arab
35,. r .i* eth;,Arab,,". tempus, pars capitis","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=484&zoom=width&showposition=0.227,0.536&highlight=512,1469,59,25#Linde",Arab
36,cf. Gr. axśntj vestimentum;,Arab,,. vitta revinxit; Bebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=494&zoom=width&showposition=0.709,0.806&highlight=1661,606,62,26#Linde",Arab
37,", delova, dougust* długość;",Arab,,. śan longus; Graec,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=540&zoom=width&showposition=0.298,0.323&highlight=686,2152,52,26#Linde",Arab
38,. dugh; Ross. AO.irb;,Arab,,. ex- trahi ex,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=564&zoom=width&showposition=0.863,0.728&highlight=2036,858,56,27#Linde",Arab
39,", AJHHHbiii; Graec. Sóhyog;",Arab,,. ^NH; Bebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=565&zoom=width&showposition=0.417,0.498&highlight=963,1595,55,27#Linde",Arab
40,cf. Graec. Stnoi excorio;,Arab,,. pi darah; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=678&zoom=width&showposition=0.340,0.442&highlight=782,1773,59,25#Linde",Arab
41,Syr. N"in taro;,Arab,,. runn. 1),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=682&zoom=width&showposition=0.845,0.343&highlight=1991,2091,59,25#Linde",Arab
42,drzwi); Pers. der;,Arab,,. 1X1 domus; Samarii,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=700&zoom=width&showposition=0.735,0.240&highlight=1722,2417,59,25#Linde",Arab
43,Tt]xlg ancilla; cf.,Arab,,. ;n famulatus fuit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=745&zoom=width&showposition=0.878,0.497&highlight=2065,1607,60,25#Linde",Arab
44,"brzydki, ra4iHBbiM ckliwy; cf.",Arab,,. riY! hajath animal,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=836&zoom=width&showposition=0.580,0.377&highlight=1360,1986,59,25#Linde",Arab
45,. pbn; Chald. bbi\,Arab,,. lÓJ). g,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=871&zoom=width&showposition=0.820,0.754&highlight=1926,779,59,25#Linde",Arab
46,", glupsk; Graec. A6nioq;",Arab,,". Nfib « neglexit,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=892&zoom=width&showposition=0.343,0.414&highlight=785,1859,62,26#Linde",Arab
47,Hebr. ©bi galasch detondit;,Arab,,. tbn nudavit pilis),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=910&zoom=width&showposition=0.610,0.782&highlight=1429,685,59,25#Linde",Arab
48,ontHebr. mn charah ar sit;,Arab,,. mx ezarsit; Hebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=925&zoom=width&showposition=0.322,0.186&highlight=735,2588,59,25#Linde",Arab
49,"), roTyio; (cf.",Arab,,. "inj> paratusfuit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=932&zoom=width&showposition=0.270,0.838&highlight=614,504,59,25#Linde",Arab
51,". haraę, ęarri- na;",Arab,,. np; Cliald.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=995&zoom=width&showposition=0.544,0.277&highlight=1263,2303,59,25#Linde",Arab
54,adwoę; Aeth. YtK circumivit\,Arab,,. "Vin reversus fuit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1036&zoom=width&showposition=0.931,0.604&highlight=2189,1253,62,26#Linde",Arab
55,", noacirfeTb, CBtntTb, nocBtutTb;",Arab,,". TOD, ""OD","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1065&zoom=width&showposition=0.519,0.856&highlight=1208,448,62,26#Linde",Arab
57,", penHHa platanus orientalis, iHHapb;",Arab,,. platanus acer; Hebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1072&zoom=width&showposition=0.488,0.332&highlight=1134,2124,62,26#Linde",Arab
60,; Hebr. jnip kobha tiara;,Arab,,. Jfrp te- xit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1129&zoom=width&showposition=0.837,0.836&highlight=1972,513,59,25#Linde",Arab
61,. kaźń); (cf.,Arab,,. yip subegit; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1138&zoom=width&showposition=0.638,0.132&highlight=1493,2761,59,25#Linde",Arab
62,", caractis, ceratio, chirat;",Arab,,. alkerat; cf.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1139&zoom=width&showposition=0.800,0.840&highlight=1872,500,59,25#Linde",Arab
63,"., (Ross. KapaBaat;",Arab,,. kairavan; Turc.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1140&zoom=width&showposition=0.375,0.432&highlight=865,1801,60,25#Linde",Arab
66,", Syr., Samar.,",Arab,,". ytsp secuit, discidit","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1152&zoom=width&showposition=0.104,0.212&highlight=219,2505,59,25#Linde",Arab
68,Rabb. ^ir® schiul;,Arab,,". bw, h>","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1155&zoom=width&showposition=0.228,0.240&highlight=512,2420,59,25#Linde",Arab
69,; cf. Graec. xoXantw ;,Arab,,. ( abp; Gr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1189&zoom=width&showposition=0.366,0.242&highlight=841,2415,62,26#Linde",Arab
70,", nottiacTb, n0J0WHTB; cf.",Arab,,. accumula- vit;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1190&zoom=width&showposition=0.368,0.306&highlight=850,2202,59,25#Linde",Arab
71,. Graec. xolant«>;,Arab,,. ; cf. Lat,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1197&zoom=width&showposition=0.239,0.770&highlight=539,724,59,25#Linde",Arab
72,puca- qeKŁ kłusak; cf.,Arab,,. pwo celeriter incessit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1210&zoom=width&showposition=0.236,0.212&highlight=535,2507,59,25#Linde",Arab
74,; Graec. xoęcćvt]; (,Arab,,. pp junxit).,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1270&zoom=width&showposition=0.348,0.662&highlight=804,1064,56,33#Linde",Arab
75,. przekora); KopHS krótki;,Arab,,. inp subegit);,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1275&zoom=width&showposition=0.761,0.443&highlight=1796,1778,59,25#Linde",Arab
76,; Gasc. cat; cf.,Arab,,. T2 dolum struxit;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1288&zoom=width&showposition=0.900,0.630&highlight=2122,1171,62,26#Linde",Arab
77,"kłusak, kowsam kłu- sam;",Arab,,. pts^ celeriter incessit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1295&zoom=width&showposition=0.572,0.801&highlight=1342,629,59,25#Linde",Arab
78,fieri solent; cf. sobotka;,Arab,,. BB3 accendit ignem;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1343&zoom=width&showposition=0.162,0.281&highlight=355,2288,59,25#Linde",Arab
79,; cf. Germ. lettyjen;,Arab,,. mb luach siłwit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1401&zoom=width&showposition=0.426,0.324&highlight=991,2158,59,25#Linde",Arab
80,; Lat. len tu s;,Arab,,. nxb lentus fuit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1443&zoom=width&showposition=0.510,0.136&highlight=1186,2763,59,25#Linde",Arab
81,Hebr. N«ob labbi;,Arab,,". Hiob laba, rrob","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1449&zoom=width&showposition=0.334,0.852&highlight=769,464,57,24#Linde",Arab
82,"noMHiOBaTb, cowaxbTb; (cf.",Arab,,. uib luth»fuit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1472&zoom=width&showposition=0.573,0.834&highlight=1348,520,56,24#Linde",Arab
84,"Snu? sachal ftuxit lacrima- ,",Arab,,. Sb® fudit la,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1513&zoom=width&showposition=0.784,0.619&highlight=1846,1212,56,24#Linde",Arab
85,"- vit, mazah ezpressit- ,",Arab,,. DDS tetigit; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1535&zoom=width&showposition=0.716,0.721&highlight=1702,883,58,24#Linde",Arab
87,Hebr. em ma- ter;,Arab,,". KtOH mater fuit,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1581&zoom=width&showposition=0.123,0.290&highlight=267,2267,57,24#Linde",Arab
89,"- sa; [sl, mosa",Arab,,. mosc; Lat.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1586&zoom=width&showposition=0.664,0.709&highlight=1563,918,59,25#Linde",Arab
90,. Lat. machaera; cf.,Arab,,. JWO percussit gladio),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1610&zoom=width&showposition=0.106,0.413&highlight=225,1861,56,24#Linde",Arab
91,". mierzyć pole, MeweBWHKi ziemiomierca;",Arab,,. ter- minus;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.419,0.119&highlight=977,2805,56,24#Linde",Arab
92,", Syr. nEtt mensut est,",Arab,,. riDtt; cf.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1612&zoom=width&showposition=0.385,0.132&highlight=894,2762,57,24#Linde",Arab
95,"milliare, Graec.ftO.ov, Chald. ,",Arab,,"uhli mil, milo,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1634&zoom=width&showposition=0.817,0.384&highlight=1919,1950,68,25#Linde",Arab
96,; Graec. fisi- cf.,Arab,,. propensus sum; cf,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1640&zoom=width&showposition=0.189,0.627&highlight=420,1176,62,26#Linde",Arab
97,"191913 matat, dimoveri\ cf.",Arab,,". tsia mut, moveri","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1646&zoom=width&showposition=0.485,0.132&highlight=1130,2762,60,25#Linde",Arab
98,". motać, motowidło, cf.",Arab,,". wta, percussit gladio","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1646&zoom=width&showposition=0.134,0.159&highlight=290,2676,59,25#Linde",Arab
99,". MOKpeHHUH; (Syr.,",Arab,,. iprs aquam terrae immisit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1675&zoom=width&showposition=0.375,0.463&highlight=864,1707,62,26#Linde",Arab
100,"Hebr. matat, dimoiit-,",Arab,,. et Hebr. łsitt,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1686&zoom=width&showposition=0.381,0.871&highlight=884,399,61,25#Linde",Arab
101,". ni» muuch, cerebrum;",Arab,,. i); g,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1691&zoom=width&showposition=0.319,0.157&highlight=732,2690,63,26#Linde",Arab
102,. muus ; Pert. mouscs;,Arab,,. DT»; Lat,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1714&zoom=width&showposition=0.369,0.856&highlight=856,447,62,26#Linde",Arab
104,", vr]da> neo;",Arab,,". PitiJ nata, fila","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1838&zoom=width&showposition=0.193,0.227&highlight=437,2460,57,24#Linde",Arab
105,"Graec. reepsky, fścpoę nubis ;",Arab,,". łaj nebo, nabo","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1840&zoom=width&showposition=0.547,0.830&highlight=1284,531,56,24#Linde",Arab
110,", pulice; Lat. pulex;",Arab,,. Np2; Germ.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2233&zoom=width&showposition=0.236,0.760&highlight=542,760,56,24#Linde",Arab
112,fe worech hiascit); cf.,Arab,,". ppD, aperuit;","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2236&zoom=width&showposition=0.625,0.764&highlight=1476,744,56,24#Linde",Arab
113,"npaBHTb sprawować, władać, cf.",Arab,,". mo dixit, finxit","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2624&zoom=width&showposition=0.926,0.427&highlight=2187,1828,60,25#Linde",Arab
115,"Rost. nyKayrb, nyKaTb; (",Arab,,. ppD aperuit; Syr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2885&zoom=width&showposition=0.103,0.155&highlight=221,2716,58,33#Linde",Arab
118,. (Syr. Km admonuit;,Arab,,. corroboravit ani- mum,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2926&zoom=width&showposition=0.807,0.621&highlight=1928,1208,63,26#Linde",Arab
120,! (Syr. Nm admonuit;,Arab,,. t3U") clamorem,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2937&zoom=width&showposition=0.156,0.314&highlight=341,2186,63,26#Linde",Arab
126,et rot; Firil. routu ;,Arab,,". tttJ"" rotuot,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2977&zoom=width&showposition=0.805,0.677&highlight=1890,1020,62,25#Linde",Arab
130,", nerad plugastwa , riany pulcer;",Arab,,. ]jn ornarit),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3089&zoom=width&showposition=0.089,0.541&highlight=189,1467,54,23#Linde",Arab
134,CKOT"Ł ; (cf.,Arab,,". Uip koth, grex","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3202&zoom=width&showposition=0.151,0.748&highlight=334,793,59,25#Linde",Arab
135,. Graec. xt>Qvę],Arab,,". -op kabor,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3202&zoom=width&showposition=0.552,0.883&highlight=1296,361,59,25#Linde",Arab
137,. Lat. sacer; cf.,Arab,,". ipł sakara, acute","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3272&zoom=width&showposition=0.667,0.667&highlight=1572,1055,56,24#Linde",Arab
138,vnvo{\ Lal. sopio;,Arab,,. H2D sopore corruplus est,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3277&zoom=width&showposition=0.896,0.694&highlight=2099,966,57,24#Linde",Arab
139,"meluit\ Syr. NID cacavitr ,",Arab,,". Nin, >>","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3324&zoom=width&showposition=0.453,0.298&highlight=1056,2232,62,26#Linde",Arab
140,"- bilavit, ^piD sarki;",Arab,,". serak avis praedatriz,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3326&zoom=width&showposition=0.264,0.869&highlight=601,404,62,26#Linde",Arab
141,"- ca, liOTiuHTbca, nOTiuaTtca;",Arab,,. YJB curatit; iliTO,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3346&zoom=width&showposition=0.778,0.435&highlight=1843,1800,54,23#Linde",Arab
143,", wiadom, świadom; cf.",Arab,,". VI2) schahad,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3419&zoom=width&showposition=0.854,0.545&highlight=1998,1442,62,26#Linde",Arab
144,ob. Posłuch); cf.,Arab,,". ""inr sahedh,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3420&zoom=width&showposition=0.341,0.566&highlight=784,1374,62,26#Linde",Arab
145,sarbitti; Ross. CBepÓHTb; [,Arab,,. 2"C tea,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3432&zoom=width&showposition=0.876,0.255&highlight=2063,2366,58,32#Linde",Arab
150,". Chald., Syr. et",Arab,,"lin chasar, albescere;","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3463&zoom=width&showposition=0.704,0.775&highlight=1643,708,73,26#Linde",Arab
151,; ^reng. [eittyen;,Arab,,. "jnffl lotium emisit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3466&zoom=width&showposition=0.552,0.747&highlight=1288,795,61,26#Linde",Arab
152,shash ; Syr. r®;,Arab,,. no»' Hebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.514,0.709&highlight=1187,916,60,25#Linde",Arab
153,". Tl© schadad , vastavit;",Arab,,. nn© cor-,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3494&zoom=width&showposition=0.411,0.518&highlight=953,1528,59,25#Linde",Arab
154,". Hebr. chebel, iaęueus;",Arab,,. b^n retia,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3534&zoom=width&showposition=0.248,0.666&highlight=560,1053,62,26#Linde",Arab
155,", sjujan ; Anglos. siwan;",Arab,,. Uin chuth; Chald,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3535&zoom=width&showposition=0.194,0.737&highlight=429,827,62,26#Linde",Arab
158,", Samar., Syr. et",Arab,,". un tagar, mercaturam","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.942,0.770&highlight=2216,721,63,26#Linde",Arab
159,"un tagar, mercaturam. ezercuit;",Arab,,". TJKn taagar, merca","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.791,0.783&highlight=1856,678,62,26#Linde",Arab
160,. trom< peten; cf.,Arab,,. 2")!,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3599&zoom=width&showposition=0.584,0.683&highlight=1354,1000,63,26#Linde",Arab
161,"diruit, 1HD sethor, destruxit\",Arab,,. ")Nn taar,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.454,0.676&highlight=1048,1025,63,26#Linde",Arab
162,jnn tera; Syr. taro;,Arab,,. nmn . 1),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3725&zoom=width&showposition=0.280,0.117&highlight=631,2808,69,29#Linde",Arab
163,Eccl. npoTHBoy4apaio odbijam; cf.,Arab,,. "ixri percussit Iuste,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3775&zoom=width&showposition=0.802,0.624&highlight=1885,1195,60,24#Linde",Arab
